path,size_bytes,size_mb,extension
models/vision/resnet18_v2_best.pt,128797419,122.8308,.pt
models/vision/resnet18_baseline_best.pt,44821401,42.745,.pt
results/vision/smoke_test_resnet18_v2/resnet18_v2_smoke.pt,44820475,42.7441,.pt
results/vision/smoke_test/smoke_test_best.pt,44818607,42.7424,.pt
models/vision/recovery/efficientnet_b0_v2_best_epoch_025.pt,25474539,24.2944,.pt
models/vision/recovery/efficientnet_b0_v2_best_epoch_024.pt,25474411,24.2943,.pt
models/vision/recovery/efficientnet_b0_v2_best_epoch_023.pt,25474219,24.2941,.pt
models/vision/recovery/efficientnet_b0_v2_best_epoch_022.pt,25474091,24.294,.pt
models/vision/recovery/efficientnet_b0_v2_best_epoch_021.pt,25473963,24.2939,.pt
models/vision/recovery/efficientnet_b0_v2_best_epoch_020.pt,25473835,24.2937,.pt
models/vision/recovery/efficientnet_b0_v2_best_epoch_019.pt,25473707,24.2936,.pt
models/vision/recovery/efficientnet_b0_v2_best_epoch_018.pt,25473515,24.2934,.pt
models/vision/recovery/efficientnet_b0_v2_best_epoch_017.pt,25473387,24.2933,.pt
models/vision/recovery/efficientnet_b0_v2_best_epoch_016.pt,25473259,24.2932,.pt
models/vision/recovery/efficientnet_b0_v2_best_epoch_015.pt,25473131,24.2931,.pt
models/vision/recovery/efficientnet_b0_v2_best_epoch_014.pt,25472939,24.2929,.pt
models/vision/recovery/efficientnet_b0_v2_best_epoch_013.pt,25472811,24.2928,.pt
models/vision/recovery/efficientnet_b0_v2_best_epoch_012.pt,25472683,24.2926,.pt
models/vision/recovery/efficientnet_b0_v2_best_epoch_011.pt,25472555,24.2925,.pt
models/vision/recovery/efficientnet_b0_v2_best_epoch_010.pt,25472363,24.2923,.pt
models/vision/recovery/efficientnet_b0_v2_best_epoch_009.pt,25472235,24.2922,.pt
models/vision/recovery/efficientnet_b0_v2_best_epoch_008.pt,25472107,24.2921,.pt
models/vision/efficientnet_b0_v2_best.pt,25470211,24.2903,.pt
models/vision/recovery/efficientnet_b0_v2_best_epoch_007.pt,19722051,18.8084,.pt
models/vision/recovery/efficientnet_b0_v2_best_epoch_006.pt,19721923,18.8083,.pt
models/vision/recovery/efficientnet_b0_v2_best_epoch_005.pt,19721795,18.8082,.pt
models/vision/recovery/efficientnet_b0_v2_best_epoch_004.pt,19721667,18.808,.pt
models/vision/recovery/efficientnet_b0_v2_best_epoch_003.pt,19721539,18.8079,.pt
results/vision/resultados_2_mejoras/08_comparacion_modelos/smoke_test/recovery/efficientnet_b0_v2_smoke_epoch_001.pt,16421407,15.6607,.pt
models/vision/recovery/efficientnet_b0_v2_best_epoch_002.pt,16421099,15.6604,.pt
models/vision/recovery/efficientnet_b0_v2_best_epoch_001.pt,16420971,15.6603,.pt
results/vision/resultados_2_mejoras/08_comparacion_modelos/smoke_test/efficientnet_b0_v2_smoke.pt,16417559,15.657,.pt
results/vision/smoke_test_efficientnet_b0/efficientnet_b0_v2_smoke.pt,16412183,15.6519,.pt
data/documents/accepted/01_fao_genebank_standards.pdf,9575846,9.1322,.pdf
data/documents/inbox/01_fao_genebank_standards.pdf,9575846,9.1322,.pdf
models/lora/soybean_sd15/pytorch_lora_weights.safetensors,6414992,6.1178,.safetensors
data/documents/accepted/06_minnesota_soybean_field_book.pdf,5056174,4.8219,.pdf
data/documents/inbox/06_minnesota_soybean_field_book.pdf,5056174,4.8219,.pdf
results/vision/resultados_2_mejoras/03_recorte_y_calidad/r2_original_vs_recorte.png,2580780,2.4612,.png
vector_db/index.faiss,2021421,1.9278,.faiss
results/vision/resultados_2_mejoras/04_analisis_errores/r2_errores_broken.png,1816454,1.7323,.png
results/vision/resultados_2_mejoras/03_recorte_y_calidad/r2_galeria_recortes.png,1723125,1.6433,.png
results/vision/resultados_2_mejoras/04_analisis_errores/r2_errores_intact.png,1707891,1.6288,.png
data/documents/accepted/03_plos_purple_seed_stain.pdf,1502530,1.4329,.pdf
data/documents/inbox/03_plos_purple_seed_stain.pdf,1502530,1.4329,.pdf
vector_db/metadata.json,1441243,1.3745,.json
data/documents/accepted/07_soybean_maturation_desiccation.pdf,1279541,1.2203,.pdf
data/documents/inbox/07_soybean_maturation_desiccation.pdf,1279541,1.2203,.pdf
data/metadata/dataset_split.csv,1022016,0.9747,.csv
results/dataset_audit/images.csv,792045,0.7554,.csv
